2026-05-19 11:54:45 - __main__ - INFO - Starting packet capture on interface 'any'
2026-05-19 11:54:45 - __main__ - INFO - BPF filter: tcp port 5050
2026-05-19 11:54:49 - app.model_prediction - INFO - Model loaded successfully: /app/models/random_forest_min-max_scaling_model.pkl
2026-05-19 11:54:49 - app.model_prediction - INFO - Scaler loaded successfully: /app/models/random_forest_min-max_scaling_scaler.pkl
2026-05-19 11:54:49 - __main__ - INFO - Detection system initialized successfully
2026-05-19 11:54:50 - __main__ - INFO - Capture started. Waiting for packets...
2026-05-19 11:54:50 - __main__ - INFO - Press Ctrl+C to stop
2026-05-19 11:55:27 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 82.45%, Threshold: 65.00%)
2026-05-19 11:55:27 - app.logging_monitor - INFO - Redis bridge connected: redis:6379
2026-05-19 11:55:28 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 81.93%, Threshold: 65.00%)
2026-05-19 11:55:30 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 81.50%, Threshold: 65.00%)
2026-05-19 11:55:31 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 83.70%, Threshold: 65.00%)
2026-05-19 11:55:31 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 85.64%, Threshold: 65.00%)
2026-05-19 11:55:32 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 80.96%, Threshold: 65.00%)
2026-05-19 11:55:32 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 82.14%, Threshold: 65.00%)
2026-05-19 11:55:33 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 74.04%, Threshold: 65.00%)
2026-05-19 11:55:33 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 72.98%, Threshold: 65.00%)
2026-05-19 11:55:34 - detection.prediction - INFO - ✓ Normal traffic (Confidence: 71.42%, Threshold: 65.00%)
2026-05-19 11:55:34 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 74.18%, Threshold: 65.00%)
2026-05-19 11:55:34 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.35%, Threshold: 65.00%)
2026-05-19 11:55:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.47%, Threshold: 65.00%)
2026-05-19 11:55:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.14%, Threshold: 65.00%)
2026-05-19 11:55:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 80.43%, Threshold: 65.00%)
2026-05-19 11:55:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.51%, Threshold: 65.00%)
2026-05-19 11:55:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.92%, Threshold: 65.00%)
2026-05-19 11:55:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.97%, Threshold: 65.00%)
2026-05-19 11:55:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.32%, Threshold: 65.00%)
2026-05-19 11:55:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.14%, Threshold: 65.00%)
2026-05-19 11:55:38 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 74.75%, Threshold: 65.00%)
